_id;datetime;predefinedlocationreference;averagevehiclespeed;traveltime;traveltimereliability;trafficstatus;vehicleprobemeasurement;geo_shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi;longitude;latitude
671a44554397ae3ceaf663de;2024-10-24 14:53:00;13516;80;1;0;unknown;0;{'type': 'Feature', 'geometry': {'coordinates': [[-1.793985799463481, 48.080678744682174], [-1.794039276749325, 48.080691872073956], [-1.794094760647149, 48.08070048469957], [-1.79415140647465, 48.08070445108253], [-1.794208349261236, 48.08070371088515]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5428;5428;Réseau d'armature;Réseau de transit;Rond-point;35196;Sens unique;80;-1.794096406730662;48.08069710582918
671a44554397ae3ceaf663df;2024-10-24 14:53:00;13549_D;58;6;60;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.793981752619757, 48.08157531235763], [-1.793861184408101, 48.08207355280082], [-1.793860945749772, 48.08207460452029], [-1.793778602202306, 48.08246321589397]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5431;5431;Réseau d'armature;Réseau de transit;Route départementale 288;35196;;80;-1.7938770503508001;48.082018554616745
671a44554397ae3ceaf663e0;2024-10-24 14:53:00;13549_G;60;6;100;freeFlow;3;{'type': 'Feature', 'geometry': {'coordinates': [[-1.793938076536509, 48.08247838795754], [-1.794020307319705, 48.082090303116374], [-1.794140746971925, 48.08159258758265]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5430;5430;Réseau d'armature;Réseau de transit;Route départementale 288;35196;;80;-1.7940362923262796;48.082034780009536
671a44554397ae3ceaf663e4;2024-10-24 14:53:00;14365;99;21;100;freeFlow;5;{'type': 'Feature', 'geometry': {'coordinates': [[-1.796526341522047, 48.07723337534579], [-1.795261306800205, 48.07807953737222], [-1.793862401383582, 48.079060179576445], [-1.793548824984337, 48.079279991625185], [-1.791214528397336, 48.08091620998619]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5418;5418;Réseau national;Route nationale;Route nationale 24;35076;Sens unique;110;-1.7938632657824196;48.07906432342529
671a44554397ae3ceaf663e6;2024-10-24 14:53:00;15029_G;55;44;100;heavy;3;{'type': 'Feature', 'geometry': {'coordinates': [[-1.766384092484107, 48.061267130002015], [-1.7669759415292, 48.0612129834346], [-1.767112262408051, 48.0612012637886], [-1.768274252868774, 48.06110135734455], [-1.769982664535892, 48.061001701829184], [-1.772195029961241, 48.06088418005932], [-1.772195595961978, 48.06088414864057], [-1.773736832158278, 48.0607949131745], [-1.775456353020154, 48.06069931131267]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5420;5420;Réseau d'armature;Réseau de transit;Route départementale 34;35076;;80;-1.7709184741592452;48.06095885196895
671a44554397ae3ceaf663e7;2024-10-24 14:53:00;15062;33;4;96;heavy;4;{'type': 'Feature', 'geometry': {'coordinates': [[-1.775449698205988, 48.060645530476584], [-1.775455928247206, 48.060680466922285], [-1.775468224704175, 48.06071467263954], [-1.775486417689925, 48.06074767707859], [-1.775510202550138, 48.06077903511722], [-1.77553920412083, 48.060808353226435], [-1.77557303969856, 48.060835243597055], [-1.775622951798108, 48.06086554867554], [-1.775679031969305, 48.0608905400063], [-1.775740033636449, 48.060909661131134]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5423;5423;Réseau d'armature;Réseau de transit;Rond-point des Villeneuves;35076;Sens unique;80;-1.7755667960711454;48.06080526223627
673b40f4de6e8bb45dd4544f;2024-11-18 14:24:00;10273_D;82;9;10;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.651560961036608, 48.04488583237593], [-1.649942809885061, 48.04477391733652], [-1.648869526613244, 48.04469967350696]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5458;5458;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6502152435538264;48.044792756860865
673b40f4de6e8bb45dd45450;2024-11-18 14:24:00;10273_G;70;10;0;unknown;0;{'type': 'Feature', 'geometry': {'coordinates': [[-1.648853009091766, 48.04480703509309], [-1.649926294608918, 48.04488127907371], [-1.651544449125304, 48.044993194341636]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5460;5460;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6501987288374653;48.04490011863635
673b40f4de6e8bb45dd45451;2024-11-18 14:24:00;10274_D;79;8;12;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.643992388929991, 48.04510759140762], [-1.641795516400546, 48.045379975458054]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5459;5459;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6428939526652688;48.04524378343284
673b40f4de6e8bb45dd45452;2024-11-18 14:24:00;10274_G;70;9;0;unknown;0;{'type': 'Feature', 'geometry': {'coordinates': [[-1.641824779581796, 48.04548610811051], [-1.644021656467099, 48.04521372350632]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5462;5462;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6429232180244475;48.045349915808416
673b40f4de6e8bb45dd45453;2024-11-18 14:24:00;10275_D;73;14;12;freeFlow;1;{'type': 'Feature', 'geometry': {'coordinates': [[-1.641793806571708, 48.045380200301764], [-1.640384821578452, 48.04557611584068], [-1.640383987910077, 48.045576234840524], [-1.638054077936143, 48.045917457881345]], 'type': 'LineString'}, 'properties': {}};rva_troncon_fcd_v1_1.5461;5461;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70;-1.6399234873467938;48.045645642320295
